Group,Participant,Cluster,Compare AU,Compare Zone,Detect Change in AU,Detect Change in Zone,Estimate AU,Find Top
1,1,small,small,large,small/small,small/small,small,small
1,2,small,large,large,large/small,small/small,medium,medium
1,3,small,small,medium,medium/medium,small/small,small,large
1,4,small,small,medium,small/small,small/small,small,medium
1,5,small,small,large,small/small,small/small,small,large
1,6,small,small,large,small/small,small/small,small,large
1,7,small,medium,small,large/large,large/small,medium,small
1,8,small,small,small,small/small,large/large,small,large
1,9,small,small,large,small/small,small/small,small,large
1,10,small,small,medium,medium/medium,small/small,small,large
1,11,small,small,large,large/large,small/small,large,large
2,1,small,small,medium,small/small,medium/large,large,small
2,2,small,small,medium,small/small,small/small,small,small
2,3,large,small,large,medium/small,large/large,large,large
2,4,small,small,small,small/small,small/small,small,small
2,5,small,small,small,small/small,medium/large,small,small
2,6,medium,small,medium,large/large,small/small,small,small
2,7,small,small,medium,medium/small,medium/medium,small,small
2,8,small,small,small,small/small,small/small,small,small
2,9,small,small,large,medium/small,large/large,medium,small
2,10,small,small,large,small/small,large/large,small,small
2,11,small,medium,large,medium/small,large/large,medium,small
3,1,small,small,small,small/small,small/small,small,small
3,2,small,small,small,small/small,medium/small,large,small
3,3,small,medium,large,small/small,medium/small,medium,small
3,4,small,small,large,large/large,small/small,small,small
3,5,small,large,large,large/medium,medium/small,medium,small
3,6,medium,large,large,medium/small,medium/small,medium,small
3,7,small,small,small,medium/small,medium/small,small,small
3,8,small,small,large,medium/small,medium/small,medium,medium
3,9,medium,medium,large,large/large,medium/small,large,small
3,10,small,small,medium,medium/small,medium/small,small,small
3,11,small,medium,large,medium/small,medium/small,medium,small
4,1,small,large,large,large/small,large/large,medium,small
4,2,small,small,small,small/small,small/small,small,small
4,3,small,large,large,small/small,small/small,small,small
4,4,small,small,small,small/small,small/small,small,small
4,5,small,large,small,small/small,small/small,large,small
4,6,small,small,large,large/small,small/small,large,medium
4,7,small,large,large,large/large,large/large,large,large
4,8,small,small,medium,large/medium,small/small,small,small
4,9,small,small,medium,medium/medium,small/small,small,small
4,10,small,large,large,large/large,small/small,large,small
4,11,large,small,large,large/large,large/large,large,large